Ticker,GICS_Sector,GICS_Industry
EQPT,Industrials,Rental & Leasing Services
EQIX,Real Estate,REIT - Specialty
EQNR,Energy,Oil & Gas Integrated
EQX,Basic Materials,Gold
ERO,Basic Materials,Copper
ERIC,Technology,Communication Equipment
ESI,Basic Materials,Specialty Chemicals
ET,Energy,Oil & Gas Midstream
ESTC,Technology,Software - Application
ETN,Industrials,Specialty Industrial Machinery
EU,Energy,Uranium
ETSY,Consumer Cyclical,Internet Retail
EW,Healthcare,Medical Devices
EVLV,Industrials,Security & Protection Services
EXK,Basic Materials,Silver
EXC,Utilities,Utilities - Regulated Electric
EXLS,Technology,Information Technology Services
EXPD,Industrials,Integrated Freight & Logistics
EXTR,Technology,Communication Equipment
EXPGY,Industrials,Consulting Services
EXPE,Consumer Cyclical,Travel Services
F,Consumer Cyclical,Auto Manufacturers
FBIN,Industrials,Building Products & Equipment
FA,Industrials,Specialty Business Services
FANG,Energy,Oil & Gas E&P
FAST,Industrials,Industrial Distribution
FCX,Basic Materials,Copper
FDX,Industrials,Integrated Freight & Logistics
FCEL,Industrials,Electrical Equipment & Parts
FEIM,Technology,Communication Equipment
FER,Industrials,Engineering & Construction
FERG,Industrials,Industrial Distribution
FFIV,Technology,Software - Infrastructure
FICO,Technology,Software - Application
FIG,Technology,Software - Application
FIS,Technology,Information Technology Services
FIVE,Consumer Cyclical,Specialty Retail
FIGS,Consumer Cyclical,Apparel Manufacturing
FIVN,Technology,Software - Infrastructure
FIX,Industrials,Engineering & Construction
FLNC,Utilities,Utilities - Renewable
FLEX,Technology,Electronic Components
FLR,Industrials,Engineering & Construction
FLY,Industrials,Aerospace & Defense
FLYW,Technology,Software - Infrastructure
FLS,Industrials,Specialty Industrial Machinery
FMC,Basic Materials,Agricultural Inputs
FNV,Basic Materials,Gold
FORM,Technology,Semiconductor Equipment & Materials
FOUR,Technology,Software - Infrastructure
FRMI,Real Estate,REIT - Specialty
FPS,Industrials,Electrical Equipment & Parts
FROG,Technology,Software - Application
FRSH,Technology,Software - Application
FRO,Energy,Oil & Gas Midstream
FSLY,Technology,Software - Application
FSLR,Technology,Solar
FRPT,Consumer Defensive,Packaged Foods
FTNT,Technology,Software - Infrastructure
FSM,Basic Materials,Gold
FTV,Technology,Scientific & Technical Instruments
FWRD,Industrials,Integrated Freight & Logistics
FUBO,Communication Services,Broadcasting
G,Technology,Information Technology Services
GD,Industrials,Aerospace & Defense
GDDY,Technology,Software - Infrastructure
GE,Industrials,Aerospace & Defense
GDS,Technology,Information Technology Services
GDYN,Technology,Information Technology Services
GEN,Technology,Software - Infrastructure
GEHC,Healthcare,Medical Devices
GENI,Communication Services,Internet Content & Information
GEO,Industrials,Security & Protection Services
GEV,Industrials,Specialty Industrial Machinery
GFI,Basic Materials,Gold
GFS,Technology,Semiconductors
GFL,Industrials,Waste Management
GGB,Basic Materials,Steel
GGG,Industrials,Specialty Industrial Machinery
GLNG,Energy,Oil & Gas Midstream
GLOB,Technology,Information Technology Services
GLW,Technology,Electronic Components
GLXY,Financial Services,Capital Markets
GM,Consumer Cyclical,Auto Manufacturers
GNRC,Industrials,Specialty Industrial Machinery
GOOG,Communication Services,Internet Content & Information
GOOGL,Communication Services,Internet Content & Information
GME,Consumer Cyclical,Specialty Retail
GPC,Consumer Cyclical,Auto Parts
GPGI,Industrials,Metal Fabrication
GPK,Consumer Cyclical,Packaging & Containers
GPN,Industrials,Specialty Business Services
GPRE,Basic Materials,Chemicals
GPRO,Technology,Consumer Electronics
GRMN,Technology,Scientific & Technical Instruments
GRAB,Technology,Software - Application
GROY,Basic Materials,Gold
GRRR,Technology,Software - Infrastructure
GRND,Technology,Software - Application
GSIT,Technology,Semiconductors
GSAT,Communication Services,Telecom Services
GT,Consumer Cyclical,Auto Parts
GTES,Industrials,Specialty Industrial Machinery
GTLB,Technology,Software - Infrastructure
GTLS,Industrials,Specialty Industrial Machinery
GTM,Technology,Software - Application
GWRE,Technology,Software - Application
GXO,Industrials,Integrated Freight & Logistics
H,Consumer Cyclical,Lodging
HAFN,Industrials,Marine Shipping
HBM,Basic Materials,Copper
HAL,Energy,Oil & Gas Equipment & Services
HAYW,Industrials,Electrical Equipment & Parts
HCC,Basic Materials,Coking Coal
HCA,Healthcare,Medical Care Facilities
HD,Consumer Cyclical,Home Improvement Retail
HII,Industrials,Aerospace & Defense
HL,Basic Materials,Other Precious Metals & Mining
HIMX,Technology,Semiconductors
HLIT,Technology,Communication Equipment
HIVE,Financial Services,Capital Markets
HLMN,Industrials,Tools & Accessories
HLT,Consumer Cyclical,Lodging
HMC,Consumer Cyclical,Auto Manufacturers
HIMS,Healthcare,Drug Manufacturers - Specialty & Generic
HNGE,Healthcare,Health Information Services
HMY,Basic Materials,Gold
HON,Industrials,Conglomerates
HOG,Consumer Cyclical,Recreational Vehicles
HPE,Technology,Communication Equipment
HSAI,Consumer Cyclical,Auto Parts
HPQ,Technology,Computer Hardware
HSY,Consumer Defensive,Confectioners
HTZ,Industrials,Rental & Leasing Services
HUBS,Technology,Software - Application
HUBB,Industrials,Electrical Equipment & Parts
HUBG,Industrials,Integrated Freight & Logistics
HTHT,Consumer Cyclical,Lodging
HUM,Healthcare,Healthcare Plans
HUN,Basic Materials,Chemicals
HUT,Financial Services,Capital Markets
HYMC,Basic Materials,Gold
HWM,Industrials,Aerospace & Defense
IAC,Communication Services,Internet Content & Information
IBM,Technology,Information Technology Services
ICL,Basic Materials,Agricultural Inputs
IAG,Basic Materials,Gold
IDR,Basic Materials,Gold
ICHR,Technology,Semiconductor Equipment & Materials
IE,Basic Materials,Copper
IDCC,Technology,Software - Application
IDXX,Healthcare,Diagnostics & Research
IEX,Industrials,Specialty Industrial Machinery
IFF,Basic Materials,Specialty Chemicals
ILMN,Healthcare,Diagnostics & Research
IHS,Real Estate,Real Estate Services
IMOS,Technology,Semiconductors
IMVT,Healthcare,Biotechnology
IMSR,Utilities,Utilities - Regulated Electric
INFQ,Technology,Software - Infrastructure
INGR,Consumer Defensive,Packaged Foods
INGM,Technology,Information Technology Services
INOD,Technology,Information Technology Services
INFY,Technology,Information Technology Services
INSM,Healthcare,Biotechnology
INTA,Technology,Software - Application
INTU,Technology,Software - Application
INTC,Technology,Semiconductors
IONQ,Technology,Computer Hardware
IONS,Healthcare,Biotechnology
IOSP,Basic Materials,Specialty Chemicals
IOT,Technology,Software - Infrastructure
IOVA,Healthcare,Biotechnology
IP,Consumer Cyclical,Packaging & Containers
IPGP,Technology,Semiconductor Equipment & Materials
IPWR,Technology,Semiconductors
IPI,Basic Materials,Agricultural Inputs
IR,Industrials,Specialty Industrial Machinery
IRM,Real Estate,REIT - Specialty
IRDM,Communication Services,Telecom Services
IREN,Financial Services,Capital Markets
ITRI,Technology,Scientific & Technical Instruments
ISRG,Healthcare,Medical Instruments & Supplies
ITW,Industrials,Specialty Industrial Machinery
IT,Technology,Information Technology Services
J,Industrials,Engineering & Construction
ITT,Industrials,Specialty Industrial Machinery
JBHT,Industrials,Integrated Freight & Logistics
JAZZ,Healthcare,Biotechnology
JBL,Technology,Electronic Components
JCI,Industrials,Building Products & Equipment
JBLU,Industrials,Airlines
JD,Consumer Cyclical,Internet Retail
JHX,Basic Materials,Building Materials
JKHY,Technology,Information Technology Services
JOBY,Industrials,Airports & Air Services
KBH,Consumer Cyclical,Residential Construction
KC,Technology,Software - Application
KBR,Industrials,Engineering & Construction
KD,Technology,Information Technology Services
KEEL,Technology,Information Technology Services
KDP,Consumer Defensive,Beverages - Non-Alcoholic
KGC,Basic Materials,Gold
KDK,Technology,Software - Infrastructure
KEYS,Technology,Scientific & Technical Instruments
KLAC,Technology,Semiconductor Equipment & Materials
KLAR,Technology,Software - Infrastructure
KLIC,Technology,Semiconductor Equipment & Materials
KMB,Consumer Defensive,Household & Personal Products
KMI,Energy,Oil & Gas Midstream
KMT,Industrials,Tools & Accessories
KNX,Industrials,Trucking
KO,Consumer Defensive,Beverages - Non-Alcoholic
KMX,Consumer Cyclical,Auto & Truck Dealerships
KODK,Industrials,Specialty Business Services
KR,Consumer Defensive,Grocery Stores
KT,Communication Services,Telecom Services
KTOS,Industrials,Aerospace & Defense
KVHI,Communication Services,Telecom Services
KVUE,Consumer Defensive,Household & Personal Products
KVYO,Technology,Software - Application
KYIV,Communication Services,Telecom Services
LAC,Basic Materials,Other Industrial Metals & Mining
KW,Real Estate,Real Estate Services
LAES,Technology,Semiconductors
LASR,Technology,Semiconductors
LAR,Basic Materials,Other Industrial Metals & Mining
LAUR,Consumer Defensive,Education & Training Services
LCID,Consumer Cyclical,Auto Manufacturers
LEN,Consumer Cyclical,Residential Construction
LEU,Energy,Uranium
LFUS,Technology,Electronic Components
LGIH,Consumer Cyclical,Residential Construction
LGO,Basic Materials,Other Industrial Metals & Mining
LGN,Industrials,Engineering & Construction
LHX,Industrials,Aerospace & Defense
LIF,Technology,Software - Application
LI,Consumer Cyclical,Auto Manufacturers
LION,Unknown,Unknown
LIN,Basic Materials,Specialty Chemicals
LITE,Technology,Communication Equipment
LKQ,Consumer Cyclical,Auto Parts
LMT,Industrials,Aerospace & Defense
LNG,Energy,Oil & Gas Midstream
LOGI,Technology,Computer Hardware
LOW,Consumer Cyclical,Home Improvement Retail
LPX,Industrials,Building Products & Equipment
LPL,Technology,Consumer Electronics
LPTH,Technology,Electronic Components
LRCX,Technology,Semiconductor Equipment & Materials
LRLCY,Consumer Defensive,Household & Personal Products
LRN,Consumer Defensive,Education & Training Services
LSCC,Technology,Semiconductors
LTBR,Industrials,Electrical Equipment & Parts
LSPD,Technology,Software - Application
LTC,Real Estate,REIT - Healthcare Facilities
LTM,Industrials,Airlines
LULU,Consumer Cyclical,Apparel Retail
LUMN,Communication Services,Telecom Services
LUNR,Industrials,Aerospace & Defense
LUV,Industrials,Airlines
LWLG,Basic Materials,Specialty Chemicals
LXU,Basic Materials,Chemicals
LYB,Basic Materials,Specialty Chemicals
LYSDY,Basic Materials,Other Industrial Metals & Mining
LYFT,Technology,Software - Application
LZ,Industrials,Specialty Business Services
MANH,Technology,Software - Application
MAN,Industrials,Staffing & Employment Services
MAS,Industrials,Building Products & Equipment
MAR,Consumer Cyclical,Lodging
MBLY,Consumer Cyclical,Auto Parts
MCHP,Technology,Semiconductors
MATX,Industrials,Marine Shipping
MDB,Technology,Software - Infrastructure
MCK,Healthcare,Medical Distribution
MDLZ,Consumer Defensive,Confectioners
MDT,Healthcare,Medical Devices
MELI,Consumer Cyclical,Internet Retail
MEOH,Basic Materials,Chemicals
META,Communication Services,Internet Content & Information
METC,Basic Materials,Coking Coal
MGA,Consumer Cyclical,Auto Parts
MGNI,Communication Services,Advertising Agencies
MKSI,Technology,Scientific & Technical Instruments
MIR,Industrials,Specialty Industrial Machinery
MLI,Industrials,Metal Fabrication
MMM,Industrials,Conglomerates
MMYT,Consumer Cyclical,Travel Services
MNST,Consumer Defensive,Beverages - Non-Alcoholic
MMS,Industrials,Specialty Business Services
MO,Consumer Defensive,Tobacco
MOD,Consumer Cyclical,Auto Parts
MPC,Energy,Oil & Gas Refining & Marketing
MP,Basic Materials,Other Industrial Metals & Mining
MPTI,Technology,Electronic Components
MPWR,Technology,Semiconductors
MQ,Technology,Software - Infrastructure
MRAM,Technology,Semiconductors
MRNA,Healthcare,Biotechnology
MOS,Basic Materials,Agricultural Inputs
MRVL,Technology,Semiconductors
MSFT,Technology,Software - Infrastructure
MSI,Technology,Communication Equipment
MSTR,Technology,Software - Application
MRTN,Industrials,Trucking
MT,Basic Materials,Steel
MTCH,Communication Services,Internet Content & Information
MTRN,Basic Materials,Other Industrial Metals & Mining
MTH,Consumer Cyclical,Residential Construction
MTZ,Industrials,Engineering & Construction
MTSI,Technology,Semiconductors
MU,Technology,Semiconductors
MUSA,Consumer Cyclical,Specialty Retail
MWA,Industrials,Specialty Industrial Machinery
MUX,Basic Materials,Other Precious Metals & Mining
NABL,Technology,Information Technology Services
MX,Technology,Semiconductors
NAT,Energy,Oil & Gas Midstream
NAVN,Technology,Software - Application
MXL,Technology,Semiconductors
NATL,Technology,Software - Application
NB,Basic Materials,Other Industrial Metals & Mining
NBIS,Communication Services,Internet Content & Information
NCLH,Consumer Cyclical,Travel Services
NCNO,Technology,Software - Application
NDSN,Industrials,Specialty Industrial Machinery
NEM,Basic Materials,Gold
NET,Technology,Software - Infrastructure
NEE,Utilities,Utilities - Regulated Electric
NEWP,Basic Materials,Silver
NEXA,Basic Materials,Other Industrial Metals & Mining
NFLX,Communication Services,Entertainment
NG,Basic Materials,Gold
NGNE,Healthcare,Biotechnology
NHI,Real Estate,REIT - Healthcare Facilities
NIO,Consumer Cyclical,Auto Manufacturers
NIQ,Unknown,Unknown
NKLR,Utilities,Utilities - Regulated Electric
NMRK,Real Estate,Real Estate Services
NN,Technology,Software - Infrastructure
NOC,Industrials,Aerospace & Defense
NNE,Industrials,Specialty Industrial Machinery
NOK,Technology,Communication Equipment
NOMD,Consumer Defensive,Packaged Foods
NOW,Technology,Software - Application
NSC,Industrials,Railroads
NSP,Industrials,Staffing & Employment Services
NTAP,Technology,Software - Infrastructure
NTES,Communication Services,Electronic Gaming & Multimedia
NTNX,Technology,Software - Infrastructure
NTR,Basic Materials,Agricultural Inputs
NTSK,Technology,Software - Infrastructure
NU,Financial Services,Banks - Regional
NUE,Basic Materials,Steel
NVEC,Technology,Semiconductors
NVRI,Industrials,Waste Management
NVDA,Technology,Semiconductors
NVTS,Technology,Semiconductors
NVT,Industrials,Electrical Equipment & Parts
NWL,Consumer Defensive,Household & Personal Products
NXE,Energy,Uranium
NXT,Technology,Solar
NXPI,Technology,Semiconductors
OC,Industrials,Building Products & Equipment
OCC,Technology,Communication Equipment
ODFL,Industrials,Trucking
OHI,Real Estate,REIT - Healthcare Facilities
OKLO,Utilities,Utilities - Independent Power Producers
OI,Consumer Cyclical,Packaging & Containers
OKTA,Technology,Software - Infrastructure
OLED,Technology,Electronic Components
OMC,Communication Services,Advertising Agencies
OLN,Basic Materials,Chemicals
OLLI,Consumer Defensive,Discount Stores
ONDS,Technology,Communication Equipment
ON,Technology,Semiconductors
OR,Basic Materials,Gold
ONTO,Technology,Semiconductor Equipment & Materials
OPEN,Real Estate,Real Estate Services
ORCL,Technology,Software - Infrastructure
ORLA,Basic Materials,Gold
ORLY,Consumer Cyclical,Auto Parts
OTEX,Technology,Software - Application
OTIS,Industrials,Specialty Industrial Machinery
P,Technology,Computer Hardware
OXY,Energy,Oil & Gas E&P
OUST,Technology,Electronic Components
PAGS,Technology,Software - Infrastructure
PAAS,Basic Materials,Gold
PAHC,Healthcare,Drug Manufacturers - Specialty & Generic
PANW,Technology,Software - Infrastructure
PATH,Technology,Software - Infrastructure
PAYC,Technology,Software - Application
PAYO,Technology,Software - Infrastructure
PAYP,Technology,Software - Infrastructure
PAYX,Technology,Software - Application
PCAR,Industrials,Farm & Heavy Construction Machinery
PBI,Industrials,Integrated Freight & Logistics
PCOR,Technology,Software - Application
PDD,Consumer Cyclical,Internet Retail
PCG,Utilities,Utilities - Regulated Electric
PCTY,Technology,Software - Application
PDYN,Technology,Software - Infrastructure
PCT,Industrials,Pollution & Treatment Controls
PEGA,Technology,Software - Application
